state,statename,collectionDate,InpatBeds_Occ_AnyPat_Est,InpatBeds_Occ_AnyPat_LoCI,InpatBeds_Occ_AnyPat_UpCI,InpatBeds_Occ_AnyPat_Est_Avail,InBedsOccAnyPat__Numbeds_Est,InBedsOccAnyPat__Numbeds_LoCI,InBedsOccAnyPat__Numbeds_UpCI,InpatBeds_Occ_COVID_Est,InpatBeds_Occ_COVID_LoCI,InpatBeds_Occ_COVID_UpCI,InBedsOccCOVID__Numbeds_Est,InBedsOccCOVID__Numbeds_LoCI,InBedsOccCOVID__Numbeds_UpCI,ICUBeds_Occ_AnyPat_Est,ICUBeds_Occ_AnyPat_LoCI,ICUBeds_Occ_AnyPat_UpCI,ICUBeds_Occ_AnyPat_Est_Avail,ICUBedsOccAnyPat__N_ICUBeds_Est,ICUBedsOccAnyPat__N_ICUBeds_LoCI,ICUBedsOccAnyPat__N_ICUBeds_UpCI,Notes
Two-letter state abbreviation,State name,Day for which estimate is made,"Hospital inpatient bed occupancy, estimate","Hospital inpatient bed occupancy, lower 95% CI","Hospital inpatient bed occupancy, upper 95% CI","Hospital inpatient beds available, estimate","Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)","Hospital inpatient bed occupancy, lower 95% CI (percent of inpatient beds)","Hospital inpatient bed occupancy, upper 95% CI (percent of inpatient beds)","Number of patients in an inpatient care location who have suspected or confirmed COVID-19,  estimate","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, lower 95% CI","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, upper 95% CI","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, percent estimate (percent of inpatient beds)","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, lower 95% CI (percent of inpatient beds)","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, upper 95% CI (percent of inpatient beds)","ICU bed occupancy, estimate","ICU bed occupancy, lower 95% CI","ICU bed occupancy, upper 95% CI","ICU beds available, estimate","ICU bed occupancy, percent estimate (percent of ICU beds)","ICU bed occupancy, lower 95% CI (percent of ICU beds)","ICU bed occupancy, upper 95% CI (percent of ICU beds)",This file contains National and State representative estimates from the CDC National Healthcare Safety Network (NHSN).
US,United States,01APR2020,418861,376948,460775,357558,53.9,52.3,55.5,73705,63156,84254,9.5,8.4,10.6,68767,58653,78881,47351,58.7,55.5,61.9,These estimates are based on data retrieved on 05-27-2020 at 5:30 am.
US,United States,02APR2020,415839,375841,455836,357784,53.7,52.3,55.1,74641,64204,85077,9.6,8.5,10.8,68089,58260,77918,46222,59.0,55.8,62.3,Statistical methods were used to generate estimates of patient impact and hospital capacity measures that are representative at the national level.
US,United States,03APR2020,406479,369406,443552,364397,52.7,51.1,54.2,76780,66111,87449,10.0,8.8,11.1,70150,59470,80830,45757,60.0,56.5,63.5,The estimates are based on data submitted by acute care hospitals to the NHSN COVID-19 Module.
US,United States,04APR2020,395832,359745,431918,375934,51.2,49.7,52.8,78450,67421,89478,10.2,8.9,11.4,69186,59614,78757,46913,59.1,56.0,62.1,"The statistical methods include weighting (to account for non-response), multiple imputation (to account for missing data), and a running 7-day smoothing technique (to account for daily fluctuations and updated responses in reporting to NHSN)."
US,United States,05APR2020,399835,363681,435988,372068,51.2,49.7,52.6,79645,68455,90835,10.2,9.0,11.4,69277,59703,78850,47652,58.5,55.3,61.8,The estimates (number and percentage) are shown along with 95% confidence intervals (denoted by the suffixes LoCI or UpCI) that reflect the statistical error that is primarily due to non-response.
US,United States,06APR2020,410121,373624,446619,372437,52.2,50.8,53.7,83387,71929,94845,10.6,9.4,11.8,69565,60974,78156,49221,58.2,54.7,61.7,"If estimates for the United States are required, the estimates for the ""US"" should be used rather than aggregating states."
US,United States,07APR2020,421515,385403,457628,373175,53.4,52.0,54.8,83852,72279,95424,10.6,9.4,11.9,71161,61924,80399,50099,60.1,57.2,63.1,All estimates are provisional and subject to revision as additional data becomes available and as methodological enhancements are developed.
US,United States,08APR2020,427031,391117,462946,361956,54.3,52.9,55.7,85686,74203,97168,10.9,9.7,12.1,72292,63702,80883,47120,60.4,57.7,63.2,"Questions should be directed to CDC, Division of Healthcare Quality Promotion (DHQP), NHSN."
US,United States,09APR2020,431757,396035,467479,355284,54.7,53.3,56.1,84007,72407,95607,10.6,9.4,11.9,72762,64090,81434,47343,60.4,57.7,63.1,"Created by NHSN, Division of Healthcare Quality Promotion, NCEZID, CDC (nhsn@cdc.gov, subject line: National Estimates)."
US,United States,10APR2020,426128,390714,461543,363289,53.8,52.5,55.2,82248,71028,93468,10.4,9.2,11.6,71443,62837,80049,50479,59.4,56.7,62.1,
