state,statename,collectionDate,InpatBeds_Occ_AnyPat_Est,InpatBeds_Occ_AnyPat_LoCI,InpatBeds_Occ_AnyPat_UpCI,InpatBeds_Occ_AnyPat_Est_Avail,InBedsOccAnyPat__Numbeds_Est,InBedsOccAnyPat__Numbeds_LoCI,InBedsOccAnyPat__Numbeds_UpCI,InpatBeds_Occ_COVID_Est,InpatBeds_Occ_COVID_LoCI,InpatBeds_Occ_COVID_UpCI,InBedsOccCOVID__Numbeds_Est,InBedsOccCOVID__Numbeds_LoCI,InBedsOccCOVID__Numbeds_UpCI,ICUBeds_Occ_AnyPat_Est,ICUBeds_Occ_AnyPat_LoCI,ICUBeds_Occ_AnyPat_UpCI,ICUBeds_Occ_AnyPat_Est_Avail,ICUBedsOccAnyPat__N_ICUBeds_Est,ICUBedsOccAnyPat__N_ICUBeds_LoCI,ICUBedsOccAnyPat__N_ICUBeds_UpCI,Notes
Two-letter state abbreviation,State name,Day for which estimate is made,"Hospital inpatient bed occupancy, estimate","Hospital inpatient bed occupancy, lower 95% CI","Hospital inpatient bed occupancy, upper 95% CI","Hospital inpatient beds available, estimate","Hospital inpatient bed occupancy, percent estimate (percent of inpatient beds)","Hospital inpatient bed occupancy, lower 95% CI (percent of inpatient beds)","Hospital inpatient bed occupancy, upper 95% CI (percent of inpatient beds)","Number of patients in an inpatient care location who have suspected or confirmed COVID-19,  estimate","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, lower 95% CI","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, upper 95% CI","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, percent estimate (percent of inpatient beds)","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, lower 95% CI (percent of inpatient beds)","Number of patients in an inpatient care location who have suspected or confirmed COVID-19, upper 95% CI (percent of inpatient beds)","ICU bed occupancy, estimate","ICU bed occupancy, lower 95% CI","ICU bed occupancy, upper 95% CI","ICU beds available, estimate","ICU bed occupancy, percent estimate (percent of ICU beds)","ICU bed occupancy, lower 95% CI (percent of ICU beds)","ICU bed occupancy, upper 95% CI (percent of ICU beds)",This file contains National and State representative estimates from the CDC National Healthcare Safety Network (NHSN).
US,United States,01APR2020,418861,376948,460775,357558,53.9,52.3,55.5,73705,63156,84254,9.5,8.4,10.6,68767,58653,78881,47351,58.7,55.5,61.9,These estimates are based on data retrieved on 06-03-2020 at 5:30 am.
US,United States,02APR2020,415839,375841,455836,357784,53.7,52.3,55.1,74641,64204,85077,9.6,8.5,10.8,68089,58260,77918,46222,59.0,55.8,62.3,Statistical methods were used to generate estimates of patient impact and hospital capacity measures that are representative at the national level.
US,United States,03APR2020,406479,369406,443552,364397,52.7,51.1,54.2,76780,66111,87449,10.0,8.8,11.1,70150,59470,80830,45757,60.0,56.5,63.5,The estimates are based on data submitted by acute care hospitals to the NHSN COVID-19 Module.
US,United States,04APR2020,395832,359745,431918,375934,51.2,49.7,52.8,78450,67421,89478,10.2,8.9,11.4,69186,59614,78757,46913,59.1,56.0,62.1,"The statistical methods include weighting (to account for non-response), multiple imputation (to account for missing data), and a running 7-day smoothing technique (to account for daily fluctuations and updated responses in reporting to NHSN)."
US,United States,05APR2020,399835,363681,435988,372068,51.2,49.7,52.6,79645,68455,90835,10.2,9.0,11.4,69277,59703,78850,47652,58.5,55.3,61.8,The estimates (number and percentage) are shown along with 95% confidence intervals (denoted by the suffixes LoCI or UpCI) that reflect the statistical error that is primarily due to non-response.
US,United States,06APR2020,410121,373624,446619,372437,52.2,50.8,53.7,83387,71929,94845,10.6,9.4,11.8,69565,60974,78156,49221,58.2,54.7,61.7,"If estimates for the United States are required, the estimates for the ""US"" should be used rather than aggregating states."
US,United States,07APR2020,421515,385403,457628,373175,53.4,52.0,54.8,83852,72279,95424,10.6,9.4,11.9,71161,61924,80399,50099,60.1,57.2,63.1,All estimates are provisional and subject to revision as additional data becomes available and as methodological enhancements are developed.
US,United States,08APR2020,427031,391117,462946,361956,54.3,52.9,55.7,85686,74203,97168,10.9,9.7,12.1,72292,63702,80883,47120,60.4,57.7,63.2,"Questions should be directed to CDC, Division of Healthcare Quality Promotion (DHQP), NHSN."
US,United States,09APR2020,431757,396035,467479,355284,54.7,53.3,56.1,84007,72407,95607,10.6,9.4,11.9,72762,64090,81434,47343,60.4,57.7,63.1,"Created by NHSN, Division of Healthcare Quality Promotion, NCEZID, CDC (nhsn@cdc.gov, subject line: National Estimates)."
US,United States,10APR2020,426128,390714,461543,363289,53.8,52.5,55.2,82248,71028,93468,10.4,9.2,11.6,71443,62837,80049,50479,59.4,56.7,62.1,
US,United States,11APR2020,414295,381181,447409,380439,52.1,50.7,53.5,81649,70821,92477,10.3,9.1,11.4,70034,62175,77892,50609,58.5,56.0,61.0,
US,United States,12APR2020,413890,381187,446593,381228,51.7,50.4,53.1,80986,69945,92027,10.1,8.9,11.3,67806,60362,75250,51063,57.2,54.5,59.9,
US,United States,13APR2020,417660,383695,451625,382510,52.4,51.0,53.7,83106,71912,94301,10.4,9.2,11.6,65496,57295,73698,53183,58.7,55.9,61.4,
US,United States,14APR2020,431159,400980,461338,365602,53.6,52.2,54.9,82863,70889,94836,10.3,9.0,11.6,65998,60001,71995,46269,59.7,57.5,61.9,
US,United States,15APR2020,432509,403120,461897,376075,53.7,52.4,55.0,80952,69283,92621,10.1,8.8,11.3,67000,61139,72862,44517,60.1,58.1,62.0,
US,United States,16APR2020,428759,400476,457041,376342,53.6,52.3,54.9,79867,68471,91263,10.0,8.8,11.2,65963,60420,71506,46716,58.6,56.6,60.7,
US,United States,17APR2020,425143,397506,452780,370290,53.5,52.2,54.8,77777,66840,88714,9.8,8.7,10.9,66410,60928,71892,45397,59.2,57.2,61.2,
US,United States,18APR2020,417285,390361,444208,380005,52.3,51.1,53.6,74901,64362,85440,9.4,8.3,10.5,65651,60227,71075,47639,58.1,56.2,60.1,
US,United States,19APR2020,416325,389366,443284,381519,52.2,50.9,53.4,75852,65404,86300,9.5,8.4,10.6,65609,60282,70935,47219,58.1,56.2,60.1,
US,United States,20APR2020,427365,400006,454725,365570,53.6,52.4,54.8,77167,66830,87504,9.7,8.6,10.7,66444,61104,71784,46141,58.7,56.8,60.6,
US,United States,21APR2020,437884,410053,465715,354144,55.1,53.9,56.4,80418,69508,91329,10.1,9.0,11.2,67687,62204,73169,45151,59.8,57.9,61.7,
US,United States,22APR2020,442201,413478,470924,348125,55.6,54.3,56.8,79819,68873,90765,10.0,8.9,11.1,68145,62362,73929,44133,60.3,58.3,62.2,
US,United States,23APR2020,442042,413239,470844,344932,56.0,54.7,57.2,78755,67983,89527,10.0,8.9,11.1,68042,62138,73946,43865,60.5,58.6,62.5,
US,United States,24APR2020,437014,408145,465883,351348,55.5,54.3,56.8,76930,66490,87369,9.8,8.7,10.8,68209,62313,74106,44654,60.1,58.1,62.0,
US,United States,25APR2020,425163,396693,453634,362704,54.0,52.8,55.3,75266,65070,85463,9.6,8.5,10.6,66790,60825,72755,45980,59.3,57.2,61.3,
US,United States,26APR2020,423437,395184,451689,364196,53.8,52.5,55.0,76092,65809,86375,9.7,8.6,10.7,65698,59975,71422,46941,58.3,56.4,60.3,
US,United States,27APR2020,437145,408245,466044,354213,55.4,54.2,56.7,77955,67674,88236,9.9,8.8,10.9,66230,60479,71981,47132,58.6,56.7,60.6,
US,United States,28APR2020,449088,419827,478348,342500,56.7,55.5,57.9,77123,67186,87061,9.7,8.8,10.7,67288,61548,73027,45325,59.3,57.4,61.2,
US,United States,29APR2020,455121,425804,484437,342463,57.5,56.3,58.7,76616,66963,86269,9.7,8.7,10.6,67405,61736,73074,48022,59.7,57.9,61.5,
US,United States,30APR2020,452248,423184,481312,346680,56.7,55.5,57.9,73562,64396,82727,9.2,8.3,10.1,67875,62158,73592,47861,58.7,56.9,60.5,
US,United States,01MAY2020,451678,423338,480018,349297,56.4,55.3,57.6,72837,64263,81412,9.1,8.3,9.9,67851,62470,73232,46495,59.1,57.3,60.9,
US,United States,02MAY2020,435816,409114,462518,366337,54.6,53.5,55.7,70710,62422,78998,8.9,8.0,9.7,67486,62186,72786,48199,58.9,57.2,60.7,
US,United States,03MAY2020,433253,405910,460596,375108,53.9,52.7,55.0,70400,61758,79041,8.8,7.9,9.6,67343,61972,72714,49145,58.1,56.4,59.9,
US,United States,04MAY2020,446439,417551,475328,362412,55.3,54.1,56.4,71194,63013,79375,8.8,8.0,9.6,67724,62073,73374,48968,58.1,56.3,59.9,
US,United States,05MAY2020,464932,434805,495059,344269,57.3,56.2,58.5,69363,61467,77260,8.6,7.8,9.3,70083,64235,75932,47290,60.0,58.2,61.8,
US,United States,06MAY2020,471532,442410,500653,331544,58.5,57.4,59.6,68790,62153,75426,8.5,7.9,9.2,69347,63742,74953,47640,59.3,57.4,61.2,
US,United States,07MAY2020,467842,437583,498101,341182,57.9,56.8,59.0,65929,59549,72310,8.2,7.6,8.7,69487,63500,75475,47202,59.4,57.7,61.2,
US,United States,08MAY2020,468403,437016,499789,337753,58.1,56.9,59.2,64232,57550,70914,8.0,7.3,8.6,69840,63774,75906,45686,59.8,58.0,61.5,
US,United States,09MAY2020,454588,428277,480898,372947,56.2,55.1,57.3,62448,56268,68628,7.7,7.1,8.3,70429,64952,75906,51785,60.8,58.6,62.9,
US,United States,10MAY2020,460190,432765,487615,349632,55.6,54.6,56.7,67467,61257,73678,8.2,7.6,8.7,71939,66390,77488,42732,59.1,57.4,60.9,
US,United States,11MAY2020,454392,425980,482804,353751,56.1,55.0,57.1,62239,56152,68325,7.7,7.1,8.2,67783,62315,73251,45289,59.1,57.3,60.9,
US,United States,12MAY2020,472970,446382,499559,341440,58.3,57.3,59.3,61694,56304,67084,7.6,7.1,8.1,69506,64449,74563,46794,60.9,59.2,62.7,
US,United States,13MAY2020,479953,452714,507191,333108,59.1,58.1,60.1,60792,55489,66095,7.5,7.0,8.0,69363,64329,74396,47048,59.9,58.2,61.7,
US,United States,14MAY2020,486672,459372,513973,327196,59.8,58.8,60.8,60579,55218,65939,7.4,7.0,7.9,70006,64931,75082,46125,60.2,58.5,61.9,
US,United States,15MAY2020,479902,452835,506968,332463,59.2,58.2,60.2,59016,53799,64233,7.3,6.8,7.8,69735,64664,74807,47453,60.1,58.4,61.8,
US,United States,16MAY2020,469052,442358,495747,340147,57.7,56.7,58.7,56822,51811,61834,7.0,6.5,7.4,68417,63425,73409,47589,58.5,56.8,60.2,
